Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Audio,ANSWER,Test1,Test2
1,1.60124E+12,27/09/2020 20:59:01,1.60124E+12,-4,27/09/2020 16:59:04,23213,10,task-l2fh,,6981359,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1.60124E+12,27/09/2020 20:59:21,1.60124E+12,-4,27/09/2020 16:59:24,23213,10,task-l2fh,,6981359,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,1,1,1,Screen 1,advancementZone,continue_button,18319.79,,,,,0,1,0,,,,,,Test Description,,,,
3,1.60124E+12,27/09/2020 20:59:22,1.60124E+12,-4,27/09/2020 16:59:25,23213,10,task-l2fh,,6981359,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,10,1,1,Screen 1,audio,content_audio,1469.265,,,,,0,1,0,,,,,1,2AFC,,Arnie_1.png,tibudo.wav,parodo.wav
4,1.60124E+12,27/09/2020 20:59:22,1.60124E+12,-4,27/09/2020 16:59:26,23213,10,task-l2fh,,6981359,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,10,1,2,Screen 2,fixation,fixation,450.088,,,,,0,1,0,,,,,1,2AFC,,Arnie_1.png,tibudo.wav,parodo.wav
5,1.60124E+12,27/09/2020 20:59:24,1.60124E+12,-4,27/09/2020 16:59:27,23213,10,task-l2fh,,6981359,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,10,1,3,Screen 3,advancementZone,content_audio,1475.155,,,,,0,1,0,,,,,1,2AFC,,Arnie_1.png,tibudo.wav,parodo.wav
6,1.60124E+12,27/09/2020 20:59:32,1.60124E+12,-4,27/09/2020 16:59:35,23213,10,task-l2fh,,6981359,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,10,1,4,Screen 4,buttonA,response_button_image,7871.365,,,Arnie_1.png,1,1,0,0,,,,,1,2AFC,,Arnie_1.png,tibudo.wav,parodo.wav
7,1.60124E+12,27/09/2020 20:59:33,1.60124E+12,-4,27/09/2020 16:59:36,23213,10,task-l2fh,,6981359,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,12,2,1,Screen 1,audio,content_audio,1477.65,,,,,0,1,0,,,,,1,2AFC,,Arnie_2.png,dabitu.wav,pabiku.wav
8,1.60124E+12,27/09/2020 20:59:34,1.60124E+12,-4,27/09/2020 16:59:37,23213,10,task-l2fh,,6981359,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,12,2,2,Screen 2,fixation,fixation,449.941,,,,,0,1,0,,,,,1,2AFC,,Arnie_2.png,dabitu.wav,pabiku.wav
9,1.60124E+12,27/09/2020 20:59:35,1.60124E+12,-4,27/09/2020 16:59:38,23213,10,task-l2fh,,6981359,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,12,2,3,Screen 3,advancementZone,content_audio,1462.61,,,,,0,1,0,,,,,1,2AFC,,Arnie_2.png,dabitu.wav,pabiku.wav
10,1.60124E+12,27/09/2020 20:59:38,1.60124E+12,-4,27/09/2020 16:59:41,23213,10,task-l2fh,,6981359,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,12,2,4,Screen 4,buttonA,response_button_image,3002.685,,,Arnie_1.png,1,0,1,0,,,,,1,2AFC,,Arnie_2.png,dabitu.wav,pabiku.wav
