Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,button,table,stim1,stim2,audio,toy1,toy2,toy3,toy4,mary
1,1.60347E+12,23/10/2020 15:06:07,1.60347E+12,-4,23/10/2020 11:06:40,23213,10,task-o6yv,,7413327,BLIND,2165039,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 86.0.4240.75,1680x1050,1678x832,,Learning Task,2,taught-inferred,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1.60347E+12,23/10/2020 15:06:10,1.60347E+12,-4,23/10/2020 11:06:42,23213,10,task-o6yv,,7413327,BLIND,2165039,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 86.0.4240.75,1680x1050,1678x832,,Learning Task,2,taught-inferred,taught-inferred,1,1,1,Screen 1,advancementZone,response_button_image,1850.81,,,green.png,1,0,1,0,,,,,,intro,,green.png,,,,,,,,,
3,1.60347E+12,23/10/2020 15:06:18,1.60347E+12,-4,23/10/2020 11:06:50,23213,10,task-o6yv,,7413327,BLIND,2165039,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 86.0.4240.75,1680x1050,1678x832,,Learning Task,2,taught-inferred,taught-inferred,6,1,1,LearningTrial1,Zone3,content_audio,8033.4,,,,,0,1,0,,,,,1,trials,alien_pru5.png,,empty table.png,dino_pru5.png,alien_pru5.png,like_pru_alien.mp3,,,,,
4,1.60347E+12,23/10/2020 15:06:18,1.60347E+12,-4,23/10/2020 11:06:51,23213,10,task-o6yv,,7413327,BLIND,2165039,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 86.0.4240.75,1680x1050,1678x832,,Learning Task,2,taught-inferred,taught-inferred,6,1,2,Screen 1,Zone4,response_button_image,238.2,,,alien_pru5.png,1,1,0,0,,,,,1,trials,alien_pru5.png,,empty table.png,dino_pru5.png,alien_pru5.png,like_pru_alien.mp3,,,,,
5,1.60347E+12,23/10/2020 15:06:26,1.60347E+12,-4,23/10/2020 11:06:59,23213,10,task-o6yv,,7413327,BLIND,2165039,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 86.0.4240.75,1680x1050,1678x832,,Learning Task,2,taught-inferred,taught-inferred,9,2,1,LearningTrial1,Zone3,content_audio,8005.58,,,,,0,1,0,,,,,1,trials,alien_blap5.png,,empty table.png,alien_blap5.png,dino_blap5.png,want_blap_alien.mp3,,,,,
6,1.60347E+12,23/10/2020 15:06:29,1.60347E+12,-4,23/10/2020 11:07:01,23213,10,task-o6yv,,7413327,BLIND,2165039,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 86.0.4240.75,1680x1050,1678x832,,Learning Task,2,taught-inferred,taught-inferred,9,2,2,Screen 1,Zone2,response_button_image,2657.54,,,alien_blap5.png,1,1,0,0,,,,,1,trials,alien_blap5.png,,empty table.png,alien_blap5.png,dino_blap5.png,want_blap_alien.mp3,,,,,
7,1.60347E+12,23/10/2020 15:06:37,1.60347E+12,-4,23/10/2020 11:07:09,23213,10,task-o6yv,,7413327,BLIND,2165039,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 86.0.4240.75,1680x1050,1678x832,,Learning Task,2,taught-inferred,taught-inferred,13,3,1,LearningTrial1,Zone3,content_audio,8143.665,,,,,0,1,0,,,,,1,trials,alien_gaz5.png,,empty table.png,alien_gaz5.png,dino_gaz5.png,like_gaz_alien.mp3,,,,,
8,1.60347E+12,23/10/2020 15:06:38,1.60347E+12,-4,23/10/2020 11:07:10,23213,10,task-o6yv,,7413327,BLIND,2165039,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 86.0.4240.75,1680x1050,1678x832,,Learning Task,2,taught-inferred,taught-inferred,13,3,2,Screen 1,Zone2,response_button_image,757.495,,,alien_gaz5.png,1,1,0,0,,,,,1,trials,alien_gaz5.png,,empty table.png,alien_gaz5.png,dino_gaz5.png,like_gaz_alien.mp3,,,,,
9,1.60347E+12,23/10/2020 15:06:46,1.60347E+12,-4,23/10/2020 11:07:19,23213,10,task-o6yv,,7413327,BLIND,2165039,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 86.0.4240.75,1680x1050,1678x832,,Learning Task,2,taught-inferred,taught-inferred,14,4,1,LearningTrial1,Zone3,content_audio,8865.045,,,,,0,1,0,,,,,1,trials,dino_pru5.png,,empty table.png,alien_pru5.png,dino_pru5.png,want_pru_dino.mp3,,,,,
10,1.60347E+12,23/10/2020 15:06:47,1.60347E+12,-4,23/10/2020 11:07:19,23213,10,task-o6yv,,7413327,BLIND,2165039,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 86.0.4240.75,1680x1050,1678x832,,Learning Task,2,taught-inferred,taught-inferred,14,4,2,Screen 1,Zone4,response_button_image,184.26,,,dino_pru5.png,1,1,0,0,,,,,1,trials,dino_pru5.png,,empty table.png,alien_pru5.png,dino_pru5.png,want_pru_dino.mp3,,,,,
