18.4805 	WARNING 	User requested fullscreen with size [1366  768], but screen is actually [1920, 1080]. Using actual size
19.4024 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='grey', colorSpace='named', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x10ec9f590>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=(1920, 1080), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
19.4024 	EXP 	window1: recordFrameIntervals = False
19.5703 	EXP 	window1: recordFrameIntervals = True
19.7540 	WARNING 	t of last frame was 19.94ms (=1/50)
19.8372 	WARNING 	t of last frame was 19.82ms (=1/50)
20.0209 	WARNING 	t of last frame was 20.24ms (=1/49)
20.2514 	EXP 	window1: recordFrameIntervals = False
20.4969 	EXP 	Created text_11 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_11', opacity=1.0, ori=0, pos=array([-0.3,  0. ]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
20.5796 	EXP 	Created image_15 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='Alien21.png', interpolate=True, mask=None, maskParams=None, name='image_15', opacity=1.0, ori=0.0, pos=array([ 0.5,  0. ]), size=array([ 0.25416667,  0.54444444]), texRes=128, units=u'norm', win=Window(...))
20.6449 	EXP 	Set  sound=reminder_du.wav
20.6450 	EXP 	Set Sound  volume=1.000
20.6555 	EXP 	Created TA_first = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='TA_first', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
20.7053 	EXP 	Set  sound=A
20.7053 	EXP 	Set Sound  volume=1.000
20.7139 	EXP 	Created fam_trials_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image=u'Alien21.png', interpolate=True, mask=None, maskParams=None, name='fam_trials_image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25416667,  0.54444444]), texRes=128, units=u'norm', win=Window(...))
20.7477 	EXP 	Set  sound=A
20.7478 	EXP 	Set Sound  volume=1.000
20.7570 	EXP 	Created alien = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='Alien24.png', interpolate=True, mask=None, maskParams=None, name='alien', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25      ,  0.54444444]), texRes=128, units=u'norm', win=Window(...))
20.7771 	EXP 	Created treminder_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='treminder_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'Now press the button when you hear this!', units=u'norm', win=Window(...), wrapWidth=1)
20.7777 	EXP 	Set  sound=reminder_1C.wav
20.7777 	EXP 	Set Sound  volume=1.000
20.7843 	EXP 	window1: blendMode = 'avg'
20.8027 	EXP 	text_11: autoDraw = True
20.8027 	EXP 	image_15: autoDraw = True
20.8060 	EXP 	window1: blendMode = 'avg'
20.8205 	EXP 	window1: blendMode = 'avg'
20.8293 	EXP 	window1: blendMode = 'avg'
20.8408 	EXP 	window1: blendMode = 'avg'
20.8542 	EXP 	window1: blendMode = 'avg'
20.8627 	EXP 	window1: blendMode = 'avg'
20.8744 	EXP 	window1: blendMode = 'avg'
20.8855 	EXP 	window1: blendMode = 'avg'
20.8960 	EXP 	window1: blendMode = 'avg'
20.9075 	EXP 	window1: blendMode = 'avg'
20.9183 	EXP 	window1: blendMode = 'avg'
20.9314 	EXP 	window1: blendMode = 'avg'
20.9404 	EXP 	window1: blendMode = 'avg'
20.9549 	EXP 	window1: blendMode = 'avg'
20.9707 	EXP 	window1: blendMode = 'avg'
20.9876 	EXP 	window1: blendMode = 'avg'
21.0038 	EXP 	window1: blendMode = 'avg'
21.0193 	EXP 	window1: blendMode = 'avg'
21.0360 	EXP 	window1: blendMode = 'avg'
21.0549 	EXP 	window1: blendMode = 'avg'
21.0708 	EXP 	window1: blendMode = 'avg'
21.0860 	EXP 	window1: blendMode = 'avg'
21.1028 	EXP 	window1: blendMode = 'avg'
21.1218 	EXP 	window1: blendMode = 'avg'
21.1376 	EXP 	window1: blendMode = 'avg'
