16.1244 	WARNING 	User requested fullscreen with size [1366  768], but screen is actually [1920, 1080]. Using actual size
18.2871 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

18.2872 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='grey', colorSpace='named', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x10fb29590>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=(1920, 1080), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
18.2873 	EXP 	window1: recordFrameIntervals = False
18.4528 	EXP 	window1: recordFrameIntervals = True
18.6698 	EXP 	window1: recordFrameIntervals = True
18.9119 	EXP 	Created text_11 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_11', opacity=1.0, ori=0, pos=array([-0.3,  0. ]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
18.9951 	EXP 	Created image_15 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='Alien21.png', interpolate=True, mask=None, maskParams=None, name='image_15', opacity=1.0, ori=0.0, pos=array([ 0.5,  0. ]), size=array([ 0.25416667,  0.54444444]), texRes=128, units=u'norm', win=Window(...))
19.0497 	EXP 	Set  sound=reminder_du.wav
19.0497 	EXP 	Set Sound  volume=1.000
19.0596 	EXP 	Created TA_first = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='TA_first', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
19.1075 	EXP 	Set  sound=A
19.1075 	EXP 	Set Sound  volume=1.000
19.1172 	EXP 	Created fam_trials_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image=u'Alien21.png', interpolate=True, mask=None, maskParams=None, name='fam_trials_image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25416667,  0.54444444]), texRes=128, units=u'norm', win=Window(...))
19.1530 	EXP 	Set  sound=A
19.1531 	EXP 	Set Sound  volume=1.000
19.1618 	EXP 	Created alien = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='Alien24.png', interpolate=True, mask=None, maskParams=None, name='alien', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25      ,  0.54444444]), texRes=128, units=u'norm', win=Window(...))
19.1834 	EXP 	Created treminder_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='treminder_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'Now press the button when you hear this!', units=u'norm', win=Window(...), wrapWidth=1)
19.1849 	EXP 	Set  sound=reminder_2C.wav
19.1849 	EXP 	Set Sound  volume=1.000
19.1909 	EXP 	window1: blendMode = 'avg'
19.2076 	WARNING 	t of last frame was 538.17ms (=1/1)
19.2076 	EXP 	text_11: autoDraw = True
19.2076 	EXP 	image_15: autoDraw = True
19.2113 	EXP 	window1: blendMode = 'avg'
19.2205 	EXP 	window1: blendMode = 'avg'
19.2332 	EXP 	window1: blendMode = 'avg'
19.2425 	EXP 	window1: blendMode = 'avg'
19.2538 	EXP 	window1: blendMode = 'avg'
19.2669 	EXP 	window1: blendMode = 'avg'
19.2759 	EXP 	window1: blendMode = 'avg'
19.2875 	EXP 	window1: blendMode = 'avg'
19.2976 	EXP 	window1: blendMode = 'avg'
19.3090 	EXP 	window1: blendMode = 'avg'
19.3208 	EXP 	window1: blendMode = 'avg'
19.3310 	EXP 	window1: blendMode = 'avg'
19.3426 	EXP 	window1: blendMode = 'avg'
19.3565 	EXP 	window1: blendMode = 'avg'
19.3734 	EXP 	window1: blendMode = 'avg'
19.3879 	EXP 	window1: blendMode = 'avg'
19.4042 	EXP 	window1: blendMode = 'avg'
