soundFile,word,location,repetition,trialnum,condition,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,sound_block_key_resp.keys,sound_block_key_resp.rt,tone_block_key_resp.keys,tone_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
da.wav,0,1,1,193,R,0,0,0,0,,,,,3,0.423243999481,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
ba.wav,0,2,1,194,R,0,1,1,1,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
bi.wav,0,3,1,195,R,0,2,2,2,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
ta.wav,0,1,1,196,R,0,3,3,3,,,,,2,0.0515899658203,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
pa.wav,0,2,1,197,R,0,4,4,4,,,,,2,0.0712511539459,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
du.wav,0,3,1,198,R,0,5,5,5,,,,,2,0.0875489711761,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
da.wav,0,1,1,199,R,0,6,6,6,,,,,2,0.239760875702,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
tu.wav,0,2,1,200,R,0,7,7,7,,,,,2,0.251611232758,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
bu.wav,0,3,1,201,R,0,8,8,8,,,,,2,0.354345083237,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
pu.wav,0,1,1,202,R,0,9,9,9,,,,,2,0.303797960281,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
ti.wav,0,2,1,203,R,0,10,10,10,,,,,2,0.203185796738,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
pi.wav,0,3,1,204,R,0,11,11,11,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
bu.wav,0,1,1,205,R,0,12,12,12,,,,,2,0.307065963745,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
tu.wav,0,2,1,206,R,0,13,13,13,,,,,2,0.288547039032,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
ba.wav,0,3,1,207,R,0,14,14,14,,,,,2,0.355319976807,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
pi.wav,0,1,1,208,R,0,15,15,15,,,,,2,0.456064939499,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
di.wav,0,2,1,209,R,0,16,16,16,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
da.wav,0,3,1,210,R,0,17,17,17,,,,,2,0.00589990615845,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
du.wav,0,1,1,211,R,0,18,18,18,,,,,2,0.0205311775208,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
di.wav,0,2,1,212,R,0,19,19,19,,,,,2,0.0364520549774,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
pu.wav,0,3,1,213,R,0,20,20,20,,,,,2,0.0513620376587,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
ti.wav,0,1,1,214,R,0,21,21,21,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
pa.wav,0,2,1,215,R,0,22,22,22,,,,,2,0.170403003693,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
ta.wav,0,3,1,216,R,0,23,23,23,,,,,2,0.0570759773254,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
bi.wav,0,1,1,217,R,0,24,24,24,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
du.wav,0,2,1,218,R,0,25,25,25,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
ti.wav,0,3,1,219,R,0,26,26,26,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
du.wav,0,1,1,220,R,0,27,27,27,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
pi.wav,0,2,1,221,R,0,28,28,28,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
ba.wav,0,3,1,222,R,0,29,29,29,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
bu.wav,0,1,1,223,R,0,30,30,30,,,,,2,0.434849023819,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
pa.wav,0,2,1,224,R,0,31,31,31,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
pi.wav,0,3,1,225,R,0,32,32,32,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
pa.wav,0,1,1,226,R,0,33,33,33,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
