parcel_numbers,is_significant,count_in_parcel,nvoxels_in_parcel,peak_labels,max_intersect_labels
1,1,18,205,unidentified,unidentified
2,0,14,93,unidentified,unidentified
3,1,19,190,unidentified,unidentified
4,0,11,54,unidentified,unidentified
5,1,18,59,Left_Frontal_Orbital_Cortex,unidentified
6,0,15,87,unidentified,unidentified
7,0,11,105,unidentified,unidentified
8,1,18,111,Left_Inferior_Temporal_Gyrus_posterior_division,unidentified
9,0,11,111,unidentified,unidentified
10,0,8,48,Left_Temporal_Fusiform_Cortex_posterior_division,unidentified
11,0,13,45,unidentified,unidentified
12,0,13,104,unidentified,unidentified
13,1,18,66,unidentified,unidentified
14,0,15,103,unidentified,unidentified
15,0,13,73,Right_Frontal_Orbital_Cortex,unidentified
16,0,6,55,unidentified,unidentified
17,0,8,60,Right_Inferior_Temporal_Gyrus_posterior_division,unidentified
18,0,10,88,unidentified,unidentified
19,0,10,14,Left_Temporal_Fusiform_Cortex_anterior_division,unidentified
20,0,10,32,Left_Occipital_Fusiform_Gyrus,unidentified
21,0,13,25,unidentified,unidentified
22,0,15,33,unidentified,Left_Cerebral_Cortex
23,0,15,60,unidentified,unidentified
24,0,14,33,unidentified,unidentified
25,0,11,25,unidentified,unidentified
26,0,12,12,unidentified,unidentified
27,0,8,26,unidentified,unidentified
28,0,10,16,unidentified,unidentified
29,0,5,30,unidentified,unidentified
30,0,10,17,Right_Frontal_Pole,Right_Frontal_Pole
31,0,8,10,unidentified,unidentified
32,0,9,15,unidentified,unidentified
33,0,10,9,Left_Middle_Temporal_Gyrus_posterior_division,Left_Cerebral_Cortex
34,0,7,13,Right_Frontal_Pole,unidentified
35,0,6,20,Right_Temporal_Pole,unidentified
36,0,9,12,Left_Middle_Temporal_Gyrus_temporooccipital_part,Left_Cerebral_Cortex
37,0,6,47,unidentified,unidentified
38,0,8,9,Right_Lingual_Gyrus,Right_Cerebral_Cortex
39,0,5,46,unidentified,unidentified
40,0,8,20,unidentified,unidentified
41,0,14,42,unidentified,unidentified
42,0,9,20,Left_Occipital_Pole,unidentified
43,0,13,24,unidentified,unidentified
44,0,6,21,unidentified,unidentified
45,0,6,35,unidentified,unidentified
46,0,11,12,Right_Middle_Temporal_Gyrus_anterior_division,unidentified
47,0,8,20,unidentified,unidentified
48,0,8,14,unidentified,unidentified
49,0,8,6,Right_Inferior_Temporal_Gyrus_anterior_division,unidentified
50,0,6,8,Right_Subcallosal_Cortex,Right_Cerebral_Cortex
51,0,8,9,Left_Lingual_Gyrus,Left_Cerebral_Cortex
52,0,5,15,unidentified,unidentified
53,0,7,6,Left_Temporal_Pole,Left_Temporal_Pole
54,0,7,14,Right_Frontal_Pole,unidentified
55,0,9,11,unidentified,unidentified
56,0,5,4,Right_Occipital_Fusiform_Gyrus,Right_Cerebral_Cortex
57,0,4,6,unidentified,Brain-Stem
58,0,6,14,unidentified,unidentified
59,0,10,10,unidentified,unidentified
60,0,5,32,unidentified,unidentified
61,0,10,12,Left_Temporal_Pole,Left_Cerebral_Cortex
62,0,8,8,unidentified,unidentified
63,0,12,10,unidentified,unidentified
64,0,8,10,unidentified,unidentified
65,0,10,9,Right_Inferior_Frontal_Gyrus_pars_triangularis,Right_Cerebral_Cortex
66,0,11,9,unidentified,unidentified
67,0,9,7,unidentified,unidentified
68,0,6,3,unidentified,unidentified
69,0,8,9,unidentified,unidentified
70,0,6,7,unidentified,unidentified
71,0,6,3,unidentified,unidentified
72,0,8,7,unidentified,unidentified
73,0,6,10,Left_Parahippocampal_Gyrus_posterior_division,unidentified
74,0,7,5,unidentified,unidentified
75,0,12,7,unidentified,unidentified
76,0,6,6,unidentified,unidentified
77,0,4,4,unidentified,unidentified
78,0,7,8,unidentified,unidentified
79,0,8,3,unidentified,unidentified
80,0,7,2,unidentified,unidentified
81,0,7,5,Left_Frontal_Pole,Left_Frontal_Pole
82,0,7,2,unidentified,unidentified
83,0,4,2,Left_Occipital_Pole,unidentified
84,0,9,8,Left_Lateral_Occipital_Cortex_inferior_division,Left_Cingulate_Gyrus_anterior_division
85,0,5,7,Left_Middle_Temporal_Gyrus_posterior_division,Left_Frontal_Pole
86,0,7,5,Right_Middle_Temporal_Gyrus_temporooccipital_part,Right_Cerebral_Cortex
87,0,5,7,unidentified,unidentified
88,0,7,3,Left_Inferior_Temporal_Gyrus_posterior_division,Left_Inferior_Temporal_Gyrus_posterior_division
89,0,5,7,unidentified,unidentified
90,0,6,5,unidentified,unidentified
91,0,5,4,unidentified,unidentified
